,season,league_name,team,goals,goals_against,points,matches,dif_goals,pos,goals_diff,tot_teams,position,quart,quartile,weighed_rating,points_per_match
1189,2008/2009,Spain LIGA BBVA,FC Barcelona,105,35,87.0,38,70,1,70,20,1,0.05,1.0,82.98518518518517,2.289473684210526
1190,2008/2009,Spain LIGA BBVA,Real Madrid CF,83,52,78.0,38,31,2,31,20,2,0.1,1.0,82.41868932038835,2.0526315789473686
1191,2008/2009,Spain LIGA BBVA,Sevilla FC,54,39,70.0,38,15,3,15,20,3,0.15,1.0,78.08732057416267,1.8421052631578947
1192,2008/2009,Spain LIGA BBVA,Atlético Madrid,80,57,67.0,38,23,4,23,20,4,0.2,1.0,79.20574162679426,1.763157894736842
1193,2008/2009,Spain LIGA BBVA,Villarreal CF,61,54,65.0,38,7,5,7,20,5,0.25,1.0,78.14267990074443,1.7105263157894737
1194,2008/2009,Spain LIGA BBVA,Valencia CF,68,54,62.0,38,14,6,14,20,6,0.3,2.0,79.17961165048544,1.631578947368421
1195,2008/2009,Spain LIGA BBVA,RC Deportivo de La Coruña,48,47,58.0,38,1,7,1,20,7,0.35,2.0,73.97248803827753,1.5263157894736843
1196,2008/2009,Spain LIGA BBVA,Málaga CF,55,59,55.0,38,-4,8,-4,20,8,0.4,2.0,68.9400479616307,1.4473684210526316
1197,2008/2009,Spain LIGA BBVA,RCD Mallorca,53,60,51.0,38,-7,9,-7,20,9,0.45,2.0,74.89832535885168,1.3421052631578947
1198,2008/2009,Spain LIGA BBVA,RCD Espanyol,46,49,47.0,38,-3,10,-3,20,10,0.5,2.0,73.9356796116505,1.236842105263158
1199,2008/2009,Spain LIGA BBVA,Racing Santander,49,48,46.0,38,1,11,1,20,11,0.55,3.0,73.0108173076923,1.2105263157894737
1200,2008/2009,Spain LIGA BBVA,UD Almería,45,61,46.0,38,-16,12,-16,20,12,0.6,3.0,72.56987951807228,1.2105263157894737
1201,2008/2009,Spain LIGA BBVA,Athletic Club de Bilbao,47,62,44.0,38,-15,13,-15,20,13,0.65,3.0,71.40517241379308,1.1578947368421053
1202,2008/2009,Spain LIGA BBVA,CA Osasuna,41,47,43.0,38,-6,14,-6,20,14,0.7,3.0,69.89242053789732,1.131578947368421
1203,2008/2009,Spain LIGA BBVA,Real Valladolid,46,58,43.0,38,-12,15,-12,20,15,0.75,3.0,73.11363636363636,1.131578947368421
1204,2008/2009,Spain LIGA BBVA,Real Sporting de Gijón,47,79,43.0,38,-32,16,-32,20,16,0.8,4.0,66.54198473282443,1.131578947368421
1205,2008/2009,Spain LIGA BBVA,Getafe CF,50,56,42.0,38,-6,17,-6,20,17,0.85,4.0,75.69437652811736,1.105263157894737
