cluster,pac,sho,pas,dri,def,phy
cluster_0,69.08336232504433,65.52110152623578,51.99136476733212,64.33878613333864,36.23864187650587,65.8386007316663
cluster_1,71.0230133079738,45.39311062791561,53.98201340192059,63.8860792787883,62.06097420940336,67.69767600155974
cluster_2,45.420808117071324,22.435353121145198,25.055035101442435,39.9728585473476,20.794394751162216,51.5438498458954
cluster_3,71.16293424980222,57.31098258289862,61.095555285086235,67.63906384818692,50.16888320781775,61.70859377343412
cluster_4,66.68574496873934,61.20068713884211,65.36348137059693,67.13503001578704,64.21899793095677,70.1322059137931
cluster_5,62.000942105059664,34.827989103467225,41.628795691577494,53.0840224687051,65.38733638576502,69.33586847914177
cluster_6,64.8623456107886,52.36480909377482,56.193225739212004,61.14045775032402,64.95098982348985,69.06695156985533
cluster_7,70.51952338260028,67.8382822057698,69.98341475947373,71.4486968717896,43.544118826158325,61.655265528873244
cluster_8,78.19185727424467,60.67506870019174,58.02018497090584,70.35924469515811,32.6955808951068,56.84538230532207
cluster_9,57.360929247531494,46.81379161637246,51.98557905668334,56.34116705276438,68.74305344671964,70.88213811953318
