,index,player_api_id,cluster,x,y
0,0,2625,cluster_4,22.189154,0.76131576
1,1,2752,cluster_9,23.727089,-52.172764
2,2,2768,cluster_5,34.08519,-43.16672
3,3,2770,cluster_7,-22.924643,18.400137
4,4,2790,cluster_6,-1.9897113,-35.323833
5,5,2796,cluster_2,-36.61352,-29.61397
6,6,2802,cluster_7,-13.599163,19.826569
7,7,2805,cluster_4,22.175388,-17.097237
8,8,2857,cluster_7,-14.206346,22.055822
9,9,2862,cluster_8,-20.31763,31.003895
10,10,2907,cluster_3,-1.1911181,19.600666
11,11,2973,cluster_4,-2.1009822,-13.132612
12,12,2977,cluster_9,15.918775,-52.533257
13,13,2983,cluster_0,-59.47691,34.723194
14,14,2984,cluster_2,-44.2633,-22.455942
15,15,3140,cluster_6,-13.286224,-21.444508
16,16,3204,cluster_7,-13.407309,20.027473
17,17,3263,cluster_6,-0.7437246,-40.12944
18,18,3264,cluster_0,-49.121,20.854336
19,19,3316,cluster_4,26.960537,-0.68247485
20,20,3329,cluster_9,6.517718,-26.007936
21,21,3377,cluster_3,-1.291777,10.397142
22,22,3441,cluster_9,19.52428,-16.834997
23,23,3512,cluster_7,-1.7885092,16.33798
24,24,3517,cluster_0,-40.06484,27.196726
25,25,3520,cluster_7,-18.181364,23.879395
26,26,4747,cluster_5,10.5224285,-51.335335
27,27,4863,cluster_9,22.298275,-59.015083
28,28,4902,cluster_4,12.95837,4.688287
29,29,4939,cluster_5,55.86981,-28.949068
30,30,4999,cluster_0,-57.243294,37.771393
31,31,5016,cluster_1,52.69025,-17.586971
32,32,5044,cluster_2,-55.363987,-31.930159
33,33,5047,cluster_2,-53.49088,-23.038343
34,34,5063,cluster_4,2.3732986,-6.2154794
35,35,5184,cluster_0,-42.294838,13.356959
36,36,5192,cluster_3,-16.429249,-8.129498
37,37,5202,cluster_9,18.737638,-19.501783
38,38,5217,cluster_7,-24.778233,7.9236484
39,39,5223,cluster_0,-37.901085,44.616802
40,40,5233,cluster_6,5.6408587,-44.89322
41,41,5243,cluster_7,-16.66858,18.402105
42,42,5247,cluster_4,-8.706854,-4.53974
43,43,5272,cluster_4,16.167732,-17.208252
44,44,5362,cluster_3,-18.646254,-12.953239
45,45,5440,cluster_2,-44.287304,-30.762888
46,46,5468,cluster_0,-55.397766,38.736855
47,47,5610,cluster_7,-6.077632,11.948811
48,48,5629,cluster_7,-20.604994,22.257463
49,49,5631,cluster_0,-43.544678,40.90775
50,50,5662,cluster_0,-61.613403,40.466045
51,51,5686,cluster_6,-4.718224,-29.887249
52,52,5687,cluster_4,35.16266,-3.522547
53,53,5693,cluster_4,6.5999813,-15.709258
54,54,5700,cluster_7,-35.335686,13.03985
55,55,5703,cluster_7,-27.28199,29.21437
56,56,5710,cluster_2,-55.04191,-27.44893
57,57,6757,cluster_9,22.583038,-42.697834
58,58,6771,cluster_1,37.491684,-19.856167
59,59,6798,cluster_5,39.80445,-53.208786
60,60,6800,cluster_9,14.645534,-46.676685
61,61,6803,cluster_6,-7.46807,-34.264088
62,62,6824,cluster_8,-20.735613,42.319244
63,63,6853,cluster_4,-0.4217175,-1.8560364
64,64,6864,cluster_9,33.04628,-35.757576
65,65,6911,cluster_7,-29.544203,9.678327
66,66,7099,cluster_0,-38.094154,30.163525
67,67,7206,cluster_3,11.366342,21.104368
68,68,7226,cluster_8,-15.608717,39.972378
69,69,7284,cluster_3,7.2608657,8.098589
70,70,7334,cluster_2,-45.19977,-20.083174
71,71,7604,cluster_3,-1.6487463,11.662436
72,72,7616,cluster_3,21.093102,13.689548
73,73,7621,cluster_2,-37.672344,-26.186409
74,74,7627,cluster_1,26.37596,14.428239
75,75,7628,cluster_1,26.396326,15.677161
76,76,7663,cluster_1,34.663967,-14.5271845
77,77,7681,cluster_6,-7.0325394,-18.630215
78,78,7683,cluster_4,31.873005,4.5533195
79,79,8777,cluster_1,37.328884,10.349973
80,80,8780,cluster_0,-29.532784,37.108513
81,81,8784,cluster_4,19.655964,-4.196965
82,82,8800,cluster_1,38.740353,-9.616968
83,83,8837,cluster_6,-0.77883804,-26.411232
84,84,8840,cluster_8,-20.685091,41.938805
85,85,8881,cluster_3,21.403744,13.554971
86,86,8893,cluster_1,35.641533,18.169727
87,87,8922,cluster_0,-42.38871,33.266308
88,88,8925,cluster_4,17.494339,6.5192804
89,89,8930,cluster_9,23.92799,-31.896755
90,90,8932,cluster_5,49.332195,-32.37053
91,91,8985,cluster_4,3.563805,-16.87307
92,92,9079,cluster_4,31.10533,-1.4661314
93,93,9086,cluster_9,22.174511,-21.88412
94,94,9124,cluster_5,2.5677722,-43.061264
95,95,9128,cluster_4,4.3047137,-12.490726
96,96,9144,cluster_7,-30.632126,8.00094
97,97,9149,cluster_5,1.4141594,-46.91749
98,98,9183,cluster_2,-49.90811,-43.52379
99,99,9203,cluster_7,-15.023971,27.68871
100,100,9213,cluster_3,-0.35209092,11.009109
101,101,9307,cluster_6,-3.301464,-26.10289
102,102,9449,cluster_9,19.486155,-48.19016
103,103,10348,cluster_7,-21.936888,22.09136
104,104,10404,cluster_7,-22.220156,3.658833
105,105,10474,cluster_0,-52.82354,39.53753
106,106,10491,cluster_7,-24.05502,21.516027
107,107,10637,cluster_2,-53.01887,-31.100048
108,108,10880,cluster_4,3.9307494,3.1928346
109,109,10933,cluster_3,-7.3303814,2.1687663
110,110,10950,cluster_9,18.384047,-53.117096
111,111,10967,cluster_4,18.249067,-1.8495007
